平成28年,人口動態調査,,
下巻　死亡　第３表　死亡数，性・死亡月・死因（死因簡単分類）別
※本表の数値は、2004・2006・2009～2017年（平成16・18・21～29年）の都道府県からの報告漏れ（2019年３月29日公表）による再集計後の数値である。
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
02105　　　直腸Ｓ状結腸移行部及び直腸の悪性新生物　　　　　　　　　　　　　　　,総数,15581,1306,1219,1327,1181,1334,1270,1266,1300,1352,1341,1317,1368
,男　Ｍ．,9912,824,795,859,766,834,803,793,830,835,858,835,880
,女　Ｆ．,5669,482,424,468,415,500,467,473,470,517,483,482,488
02106　　　肝及び肝内胆管の悪性新生物　　　　　　　　　　　　　　　　　　　　　,総数,28535,2502,2228,2503,2384,2384,2203,2432,2361,2323,2451,2371,2393
,男　Ｍ．,18514,1607,1485,1616,1547,1577,1426,1584,1517,1532,1593,1516,1514
,女　Ｆ．,10021,895,743,887,837,807,777,848,844,791,858,855,879
02107　　　胆のう及びその他の胆道の悪性新生物　　　　　　　　　　　　　　　　　,総数,17970,1522,1443,1505,1396,1504,1513,1523,1508,1527,1543,1478,1508
,男　Ｍ．,8972,758,736,739,699,743,790,731,753,769,758,735,761
,女　Ｆ．,8998,764,707,766,697,761,723,792,755,758,785,743,747
02108　　　膵の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,33485,2772,2677,2808,2741,2830,2743,2854,2921,2717,2904,2692,2826
,男　Ｍ．,17064,1452,1397,1433,1348,1425,1407,1426,1517,1378,1444,1368,1469
,女　Ｆ．,16421,1320,1280,1375,1393,1405,1336,1428,1404,1339,1460,1324,1357
02109　　　喉頭の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,944,99,84,76,76,73,62,65,86,76,77,94,76
,男　Ｍ．,856,95,77,71,70,65,53,62,80,64,67,85,67
,女　Ｆ．,88,4,7,5,6,8,9,3,6,12,10,9,9
02110　　　気管，気管支及び肺の悪性新生物　　　　　　　　　　　　　　　　　　　,総数,73860,6474,5983,6312,6127,6090,5846,6079,6170,6028,6377,6118,6256
,男　Ｍ．,52447,4611,4262,4512,4279,4332,4157,4282,4390,4263,4570,4356,4433
,女　Ｆ．,21413,1863,1721,1800,1848,1758,1689,1797,1780,1765,1807,1762,1823
02111　　　皮膚の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1553,110,129,140,122,125,115,130,147,135,138,148,114
,男　Ｍ．,754,57,54,71,61,67,56,73,72,61,72,56,54
,女　Ｆ．,799,53,75,69,61,58,59,57,75,74,66,92,60
02112　　　乳房の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,14135,1261,1134,1129,1130,1169,1092,1260,1196,1157,1231,1159,1217
,男　Ｍ．,117,5,9,15,6,8,12,12,11,14,11,7,7
,女　Ｆ．,14018,1256,1125,1114,1124,1161,1080,1248,1185,1143,1220,1152,1210
02113　　　子宮の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,6348,529,496,546,491,504,528,516,543,550,524,539,582
,男　Ｍ．,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. 
,女　Ｆ．,6348,529,496,546,491,504,528,516,543,550,524,539,582
02114　　　卵巣の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,4761,439,386,362,392,369,395,418,403,410,391,391,405
,男　Ｍ．,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. 
,女　Ｆ．,4761,439,386,362,392,369,395,418,403,410,391,391,405
02115　　　前立腺の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11810,1020,936,945,906,968,922,977,956,962,1070,1090,1058
,男　Ｍ．,11810,1020,936,945,906,968,922,977,956,962,1070,1090,1058
