平成29年,人口動態統計,,
下巻　死亡　第３表　死亡数，性・死亡月・死因（死因簡単分類）別
注：死因簡単分類は、「ICD-10（2013年版）」（平成29年適用）によるものである。分類表「死因簡単分類の新旧比較（平成29年、28年）」を参照されたい。
※本表の数値は、2004・2006・2009～2017年（平成16・18・21～29年）の都道府県からの報告漏れ（2019年３月29日公表）による再集計後の数値である。
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
,女　Ｆ．,17787,1555,1309,1500,1418,1498,1357,1501,1526,1480,1530,1531,1582
02105　　　直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞　　　　　　　　　　　,総数,15333,1343,1238,1324,1275,1242,1188,1234,1298,1265,1291,1291,1344
,男　Ｍ．,9771,862,828,837,821,767,766,764,792,792,836,843,863
,女　Ｆ．,5562,481,410,487,454,475,422,470,506,473,455,448,481
02106　　　肝及び肝内胆管の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　,総数,27116,2410,2184,2364,2165,2225,2213,2306,2347,2212,2217,2187,2286
,男　Ｍ．,17822,1581,1454,1566,1418,1477,1462,1486,1538,1421,1452,1447,1520
,女　Ｆ．,9294,829,730,798,747,748,751,820,809,791,765,740,766
02107　　　胆のう及びその他の胆道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　,総数,18180,1548,1440,1565,1458,1474,1486,1499,1584,1500,1573,1536,1517
,男　Ｍ．,9237,776,728,818,750,746,736,719,810,780,795,754,825
,女　Ｆ．,8943,772,712,747,708,728,750,780,774,720,778,782,692
02108　　　膵の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　,総数,34229,2858,2613,2874,2686,2838,2799,2856,2885,2848,3001,2979,2992
,男　Ｍ．,17403,1477,1327,1460,1367,1446,1360,1483,1463,1461,1507,1529,1523
,女　Ｆ．,16826,1381,1286,1414,1319,1392,1439,1373,1422,1387,1494,1450,1469
02109　　　喉頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,879,77,80,70,65,78,66,71,74,67,69,84,78
,男　Ｍ．,808,72,68,68,61,73,60,62,71,62,64,79,68
,女　Ｆ．,71,5,12,2,4,5,6,9,3,5,5,5,10
02110　　　気管，気管支及び肺の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,74127,6509,5615,6184,5904,6274,5873,6283,6267,6080,6349,6235,6554
,男　Ｍ．,53007,4659,4033,4434,4261,4473,4215,4515,4483,4348,4531,4408,4647
,女　Ｆ．,21120,1850,1582,1750,1643,1801,1658,1768,1784,1732,1818,1827,1907
02111　　　皮膚の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,1584,123,130,137,140,135,117,127,136,129,139,131,140
,男　Ｍ．,798,68,58,70,66,70,60,70,69,69,72,61,65
,女　Ｆ．,786,55,72,67,74,65,57,57,67,60,67,70,75
02112　　　乳房の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,14384,1299,1134,1179,1134,1228,1135,1258,1184,1163,1224,1199,1247
,男　Ｍ．,99,7,7,15,8,5,8,6,10,7,6,12,8
,女　Ｆ．,14285,1292,1127,1164,1126,1223,1127,1252,1174,1156,1218,1187,1239
02113　　　子宮の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,6611,547,501,564,542,576,542,578,597,544,541,513,566
,男　Ｍ．,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. 
,女　Ｆ．,6611,547,501,564,542,576,542,578,597,544,541,513,566
02114　　　卵巣の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,4746,413,352,386,394,377,377,374,392,416,422,406,437
,男　Ｍ．,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. 
,女　Ｆ．,4746,413,352,386,394,377,377,374,392,416,422,406,437
02115　　　前立腺の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　,総数,12014,1039,941,1034,938,1011,937,995,945,980,1054,1041,1099
,男　Ｍ．,12014,1039,941,1034,938,1011,937,995,945,980,1054,1041,1099
,女　Ｆ．,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. 
02116　　　膀胱の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,8780,787,715,778,672,697,777,670,749,693,746,742,754
,男　Ｍ．,6026,567,490,530,442,489,521,463,504,508,509,490,513
,女　Ｆ．,2754,220,225,248,230,208,256,207,245,185,237,252,241
02117　　　中枢神経系の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　,総数,2691,248,209,231,210,210,219,238,232,200,237,228,229
,男　Ｍ．,1498,144,134,122,122,122,116,127,134,110,129,119,119
,女　Ｆ．,1193,104,75,109,88,88,103,111,98,90,108,109,110
02118　　　悪性リンパ腫　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,12536,1095,935,1073,1035,1099,993,1020,1057,989,1130,1070,1040
,男　Ｍ．,7034,630,521,602,587,595,574,574,586,529,624,618,594
,女　Ｆ．,5502,465,414,471,448,504,419,446,471,460,506,452,446
02119　　　白血病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,8571,715,634,728,646,701,721,711,717,784,803,678,733
,男　Ｍ．,5215,453,388,456,387,440,434,415,442,473,479,432,416
,女　Ｆ．,3356,262,246,272,259,261,287,296,275,311,324,246,317
02120　　　その他のリンパ組織，造血組織及び関連組織の悪性新生物＜腫瘍＞　　　　,総数,4492,406,369,363,380,371,335,348,368,368,413,401,370
,男　Ｍ．,2356,230,178,204,199,198,173,176,178,193,206,222,199
,女　Ｆ．,2136,176,191,159,181,173,162,172,190,175,207,179,171
02121　　　その他の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　,総数,27491,2368,2111,2373,2142,2302,2202,2266,2365,2236,2358,2336,2432
,男　Ｍ．,15110,1294,1197,1306,1142,1283,1176,1217,1320,1191,1335,1294,1355
,女　Ｆ．,12381,1074,914,1067,1000,1019,1026,1049,1045,1045,1023,1042,1077
02200　　その他の新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　,総数,13025,1188,1082,1074,1079,999,1039,1096,1040,1046,1125,1111,1146
,男　Ｍ．,6958,645,557,568,571,555,557,571,554,531,621,582,646
,女　Ｆ．,6067,543,525,506,508,444,482,525,486,515,504,529,500
02201　　　中枢神経系のその他の新生物＜腫瘍＞　　　　　　　　　　　　　　　　　,総数,2709,252,235,232,222,204,228,210,240,203,217,230,236
,男　Ｍ．,1279,118,117,113,111,91,102,90,108,90,108,112,119
,女　Ｆ．,1430,134,118,119,111,113,126,120,132,113,109,118,117
02202　　　中枢神経系を除くその他の新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,10316,936,847,842,857,795,811,886,800,843,908,881,910
,男　Ｍ．,5679,527,440,455,460,464,455,481,446,441,513,470,527
,女　Ｆ．,4637,409,407,387,397,331,356,405,354,402,395,411,383
03000　血液及び造血器の疾患並びに免疫機構の障害　　　　　　　　　　　　　　　　,総数,4371,448,377,356,307,349,360,334,347,343,376,392,382
,男　Ｍ．,1884,187,161,137,141,140,159,150,146,140,180,166,177
,女　Ｆ．,2487,261,216,219,166,209,201,184,201,203,196,226,205
03100　　貧血　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2153,241,181,164,128,191,173,162,165,163,196,200,189
,男　Ｍ．,832,92,73,53,51,79,70,66,66,55,80,70,77
,女　Ｆ．,1321,149,108,111,77,112,103,96,99,108,116,130,112
03200　　その他の血液及び造血器の疾患並びに免疫機構の障害　　　　　　　　　　　,総数,2218,207,196,192,179,158,187,172,182,180,180,192,193
,男　Ｍ．,1052,95,88,84,90,61,89,84,80,85,100,96,100
,女　Ｆ．,1166,112,108,108,89,97,98,88,102,95,80,96,93
04000　内分泌，栄養及び代謝疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,22386,2422,2080,2154,1768,1735,1576,1677,1700,1620,1686,1821,2147
,男　Ｍ．,11503,1265,1084,1135,876,875,772,860,879,822,879,956,1100
,女　Ｆ．,10883,1157,996,1019,892,860,804,817,821,798,807,865,1047
04100　　糖尿病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,13971,1517,1314,1349,1157,1083,999,1022,1042,988,1039,1127,1334
,男　Ｍ．,7731,841,744,759,608,591,527,580,560,544,598,623,756
,女　Ｆ．,6240,676,570,590,549,492,472,442,482,444,441,504,578
04200　　その他の内分泌，栄養及び代謝疾患　　　　　　　　　　　　　　　　　　　,総数,8415,905,766,805,611,652,577,655,658,632,647,694,813
,男　Ｍ．,3772,424,340,376,268,284,245,280,319,278,281,333,344
,女　Ｆ．,4643,481,426,429,343,368,332,375,339,354,366,361,469
05000　精神及び行動の障害　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,21489,2001,1898,1826,1697,1733,1574,1657,1658,1631,1827,1941,2046
,男　Ｍ．,7979,776,681,667,621,672,603,614,629,597,676,690,753
,女　Ｆ．,13510,1225,1217,1159,1076,1061,971,1043,1029,1034,1151,1251,1293
05100　　血管性及び詳細不明の認知症　　　　　　　　　　　　　　　　　　　　　　,総数,19551,1818,1731,1651,1549,1580,1433,1494,1510,1491,1669,1768,1857
,男　Ｍ．,6997,691,584,587,558,593,523,524,547,536,597,599,658
,女　Ｆ．,12554,1127,1147,1064,991,987,910,970,963,955,1072,1169,1199
05200　　その他の精神及び行動の障害　　　　　　　　　　　　　　　　　　　　　　,総数,1938,183,167,175,148,153,141,163,148,140,158,173,189
,男　Ｍ．,982,85,97,80,63,79,80,90,82,61,79,91,95
,女　Ｆ．,956,98,70,95,85,74,61,73,66,79,79,82,94
06000　神経系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,45027,4331,3736,3826,3650,3532,3196,3447,3505,3512,3948,4051,4293
,男　Ｍ．,21170,2066,1732,1788,1737,1697,1454,1593,1704,1602,1861,1850,2086
,女　Ｆ．,23857,2265,2004,2038,1913,1835,1742,1854,1801,1910,2087,2201,2207
06100　　髄膜炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,311,34,33,34,28,32,14,20,24,25,23,14,30
,男　Ｍ．,180,17,18,21,17,14,8,9,16,19,14,9,18
,女　Ｆ．,131,17,15,13,11,18,6,11,8,6,9,5,12
06200　　脊髄性筋萎縮症及び関連症候群　　　　　　　　　　　　　　　　　　　　　,総数,2543,255,200,206,229,212,178,197,202,180,222,237,225
,男　Ｍ．,1505,143,120,111,139,127,105,119,122,100,144,135,140
,女　Ｆ．,1038,112,80,95,90,85,73,78,80,80,78,102,85
06300　　パーキンソン病　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,10123,1016,921,878,785,767,674,780,793,766,885,914,944
,男　Ｍ．,5112,521,442,441,394,391,354,397,401,370,448,461,492
,女　Ｆ．,5011,495,479,437,391,376,320,383,392,396,437,453,452
06400　　アルツハイマー病　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,17239,1617,1397,1426,1357,1334,1299,1333,1321,1394,1564,1554,1643
,男　Ｍ．,6061,572,479,495,497,491,437,476,488,468,542,501,615
,女　Ｆ．,11178,1045,918,931,860,843,862,857,833,926,1022,1053,1028
06500　　その他の神経系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　,総数,14811,1409,1185,1282,1251,1187,1031,1117,1165,1147,1254,1332,1451
,男　Ｍ．,8312,813,673,720,690,674,550,592,677,645,713,744,821
,女　Ｆ．,6499,596,512,562,561,513,481,525,488,502,541,588,630
07000　眼及び付属器の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,7,1,-,1,-,-,2,2,-,1,-,-,-
,男　Ｍ．,3,-,-,-,-,-,1,2,-,-,-,-,-
,女　Ｆ．,4,1,-,1,-,-,1,-,-,1,-,-,-
08000　耳及び乳様突起の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,20,-,2,1,3,2,1,5,1,2,1,1,1
,男　Ｍ．,8,-,-,1,1,1,-,2,1,1,1,-,-
,女　Ｆ．,12,-,2,-,2,1,1,3,-,1,-,1,1
09000　循環器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,351019,38754,32671,32552,28654,26927,24019,24955,25041,24458,27824,30366,34798
,男　Ｍ．,166570,18553,15444,15441,13631,12652,11251,11794,11768,11517,13259,14553,16707
,女　Ｆ．,184449,20201,17227,17111,15023,14275,12768,13161,13273,12941,14565,15813,18091
09100　　高血圧性疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,9570,1171,916,875,748,685,628,643,681,643,726,796,1058
,男　Ｍ．,3916,491,366,381,311,278,269,264,250,245,289,315,457
,女　Ｆ．,5654,680,550,494,437,407,359,379,431,398,437,481,601
