令和６年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
,男　Ｍ．,9995,806,760,876,823,818,799,859,868,804,915,819,848
,女　Ｆ．,6124,533,470,515,445,462,518,501,539,544,544,512,541
02106　　　肝及び肝内胆管の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　,総数,22465,1969,1751,1935,1855,1832,1844,1776,1913,1819,1902,1853,2016
,男　Ｍ．,15133,1346,1165,1301,1258,1198,1234,1179,1302,1247,1272,1274,1357
,女　Ｆ．,7332,623,586,634,597,634,610,597,611,572,630,579,659
02107　　　胆のう及びその他の胆道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　,総数,17232,1485,1371,1477,1418,1418,1404,1452,1408,1442,1465,1418,1474
,男　Ｍ．,9205,802,729,793,744,749,772,743,770,760,794,736,813
,女　Ｆ．,8027,683,642,684,674,669,632,709,638,682,671,682,661
02108　　　膵の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　,総数,41235,3382,3345,3465,3286,3474,3318,3418,3479,3433,3514,3507,3614
,男　Ｍ．,20371,1675,1640,1702,1644,1720,1638,1714,1697,1711,1711,1748,1771
,女　Ｆ．,20864,1707,1705,1763,1642,1754,1680,1704,1782,1722,1803,1759,1843
02109　　　喉頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,756,52,82,64,63,64,49,54,64,57,65,61,81
,男　Ｍ．,676,45,75,56,58,58,43,46,56,53,57,55,74
,女　Ｆ．,80,7,7,8,5,6,6,8,8,4,8,6,7
02110　　　気管，気管支及び肺の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,75569,6496,6075,6363,6001,6209,6011,6449,6491,6373,6402,6139,6560
,男　Ｍ．,52333,4515,4254,4418,4139,4238,4139,4457,4527,4447,4452,4269,4478
,女　Ｆ．,23236,1981,1821,1945,1862,1971,1872,1992,1964,1926,1950,1870,2082
02111　　　皮膚の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,1894,160,150,180,142,141,138,180,159,168,168,131,177
,男　Ｍ．,974,80,82,90,83,61,65,91,83,95,89,70,85
,女　Ｆ．,920,80,68,90,59,80,73,89,76,73,79,61,92
02112　　　乳房の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,16005,1386,1271,1343,1292,1289,1285,1327,1346,1289,1336,1389,1452
,男　Ｍ．,136,12,10,7,7,10,12,13,16,9,17,12,11
,女　Ｆ．,15869,1374,1261,1336,1285,1279,1273,1314,1330,1280,1319,1377,1441
