平成30年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
,男　Ｍ．,9631,866,752,790,808,780,708,840,825,816,874,766,806
,女　Ｆ．,5613,468,500,467,445,461,458,493,495,445,461,448,472
02106　　　肝及び肝内胆管の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　,総数,25925,2273,2159,2278,2088,2139,2035,2156,2141,2098,2177,2131,2250
,男　Ｍ．,17032,1491,1420,1495,1349,1396,1357,1420,1391,1372,1431,1418,1492
,女　Ｆ．,8893,782,739,783,739,743,678,736,750,726,746,713,758
02107　　　胆のう及びその他の胆道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　,総数,18237,1561,1410,1575,1394,1495,1482,1480,1568,1566,1631,1527,1548
,男　Ｍ．,9384,794,739,810,708,767,776,763,772,814,862,779,800
,女　Ｆ．,8853,767,671,765,686,728,706,717,796,752,769,748,748
02108　　　膵の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　,総数,35390,3077,2648,2815,2962,2927,2833,2902,2991,3100,3054,3070,3011
,男　Ｍ．,17938,1580,1395,1405,1516,1463,1397,1497,1502,1573,1522,1539,1549
,女　Ｆ．,17452,1497,1253,1410,1446,1464,1436,1405,1489,1527,1532,1531,1462
02109　　　喉頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,841,79,80,84,59,65,63,61,62,57,67,79,85
,男　Ｍ．,768,68,73,75,48,63,57,59,60,52,61,74,78
,女　Ｆ．,73,11,7,9,11,2,6,2,2,5,6,5,7
02110　　　気管，気管支及び肺の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,74328,6509,5833,6233,6031,6089,5916,6206,6325,6286,6332,6223,6345
,男　Ｍ．,52401,4631,4062,4433,4231,4334,4164,4395,4470,4422,4400,4363,4496
,女　Ｆ．,21927,1878,1771,1800,1800,1755,1752,1811,1855,1864,1932,1860,1849
02111　　　皮膚の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,1622,145,117,137,137,148,136,123,141,139,136,127,136
,男　Ｍ．,813,75,61,77,66,76,71,60,69,60,70,62,66
,女　Ｆ．,809,70,56,60,71,72,65,63,72,79,66,65,70
02112　　　乳房の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,14759,1302,1138,1242,1211,1189,1168,1252,1251,1203,1254,1253,1296
,男　Ｍ．,106,9,10,12,6,6,10,11,11,10,5,11,5
,女　Ｆ．,14653,1293,1128,1230,1205,1183,1158,1241,1240,1193,1249,1242,1291
