平成27年,人口動態調査,,
下巻　死亡　第３表　死亡数，性・死亡月・死因（死因簡単分類）別
※本表の数値は、2004・2006・2009～2017年（平成16・18・21～29年）の都道府県からの報告漏れ（2019年３月29日公表）による再集計後の数値である。
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
　　 　総　　　数　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1290510,134256,110042,113860,104886,102731,94569,99448,101081,98242,107928,106616,116851
,男　Ｍ．,666728,69399,56322,58654,54475,53121,49104,51616,52563,50762,55791,54839,60082
,女　Ｆ．,623782,64857,53720,55206,50411,49610,45465,47832,48518,47480,52137,51777,56769
01000　感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,25241,2623,2171,2282,2077,2117,1866,1895,1989,1897,2047,2057,2220
,男　Ｍ．,12307,1282,1040,1064,1031,1014,923,928,985,920,979,1014,1127
,女　Ｆ．,12934,1341,1131,1218,1046,1103,943,967,1004,977,1068,1043,1093
01100　　腸管感染症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2333,314,226,226,175,174,151,158,150,157,167,214,221
,男　Ｍ．,1036,142,106,84,69,89,64,69,73,67,73,100,100
,女　Ｆ．,1297,172,120,142,106,85,87,89,77,90,94,114,121
01200　　結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1956,191,173,174,153,170,148,157,161,150,157,159,163
,男　Ｍ．,1169,108,99,87,101,108,93,98,95,99,98,84,99
,女　Ｆ．,787,83,74,87,52,62,55,59,66,51,59,75,64
01201　　　呼吸器結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1723,172,156,155,137,147,131,136,140,132,138,140,139
,男　Ｍ．,1064,102,90,80,94,95,87,92,82,90,90,74,88
,女　Ｆ．,659,70,66,75,43,52,44,44,58,42,48,66,51
01202　　　その他の結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,233,19,17,19,16,23,17,21,21,18,19,19,24
,男　Ｍ．,105,6,9,7,7,13,6,6,13,9,8,10,11
,女　Ｆ．,128,13,8,12,9,10,11,15,8,9,11,9,13
01300　　敗血症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11357,1163,961,1028,941,985,841,837,903,858,970,885,985
,男　Ｍ．,5485,583,453,488,457,441,408,406,450,395,479,429,496
,女　Ｆ．,5872,580,508,540,484,544,433,431,453,463,491,456,489
01400　　ウイルス肝炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,4514,458,407,417,403,392,303,344,364,333,349,365,379
,男　Ｍ．,2024,202,172,191,196,182,127,151,153,157,139,171,183
,女　Ｆ．,2490,256,235,226,207,210,176,193,211,176,210,194,196
01401　　　Ｂ型ウイルス肝炎　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,407,35,27,34,42,47,30,31,38,23,25,35,40
,男　Ｍ．,234,21,15,22,22,27,16,20,21,17,11,21,21
,女　Ｆ．,173,14,12,12,20,20,14,11,17,6,14,14,19
01402　　　Ｃ型ウイルス肝炎　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,3881,397,359,362,346,327,259,294,308,287,303,315,324
,男　Ｍ．,1673,165,148,158,164,146,104,124,124,129,119,139,153
,女　Ｆ．,2208,232,211,204,182,181,155,170,184,158,184,176,171
01403　　　その他のウイルス肝炎　　　　　　　　　　　　　　　　　　　　　　　　,総数,226,26,21,21,15,18,14,19,18,23,21,15,15
,男　Ｍ．,117,16,9,11,10,9,7,7,8,11,9,11,9
,女　Ｆ．,109,10,12,10,5,9,7,12,10,12,12,4,6
01500　　ヒト免疫不全ウイルス［ＨＩＶ］病　　　　　　　　　　　　　　　　　　　,総数,56,4,3,6,4,1,4,5,6,5,3,8,7
,男　Ｍ．,50,4,3,5,3,1,4,4,5,4,3,8,6
,女　Ｆ．,6,-,-,1,1,-,-,1,1,1,-,-,1
01600　　その他の感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　,総数,5025,493,401,431,401,395,419,394,405,394,401,426,465
,男　Ｍ．,2543,243,207,209,205,193,227,200,209,198,187,222,243
,女　Ｆ．,2482,250,194,222,196,202,192,194,196,196,214,204,222
02000　新生物　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,381681,33560,29167,32134,30919,31358,30540,32145,32251,31438,33197,31775,33197
,男　Ｍ．,225461,19993,17259,18991,18293,18536,18046,18905,19011,18529,19592,18775,19531
,女　Ｆ．,156220,13567,11908,13143,12626,12822,12494,13240,13240,12909,13605,13000,13666
02100　　悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,370362,32523,28283,31208,29993,30471,29666,31241,31282,30519,32169,30810,32197
,男　Ｍ．,219515,19437,16786,18486,17819,18081,17610,18426,18515,18057,19039,18255,19004
,女　Ｆ．,150847,13086,11497,12722,12174,12390,12056,12815,12767,12462,13130,12555,13193
02101　　　口唇，口腔及び咽頭の悪性新生物　　　　　　　　　　　　　　　　　　　,総数,7380,628,558,666,612,589,585,628,571,590,678,616,659
,男　Ｍ．,5258,456,400,472,439,414,413,448,389,423,487,440,477
,女　Ｆ．,2122,172,158,194,173,175,172,180,182,167,191,176,182
02102　　　食道の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11740,1018,898,1002,963,949,952,986,1000,1005,1002,1013,952
,男　Ｍ．,9775,839,754,816,791,775,820,808,825,837,831,867,812
,女　Ｆ．,1965,179,144,186,172,174,132,178,175,168,171,146,140
02103　　　胃の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,46681,4216,3592,3981,3676,3916,3676,4018,3913,3884,3911,3879,4019
,男　Ｍ．,30810,2819,2401,2608,2440,2590,2430,2659,2552,2508,2574,2567,2662
,女　Ｆ．,15871,1397,1191,1373,1236,1326,1246,1359,1361,1376,1337,1312,1357
02104　　　結腸の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,34339,2910,2638,2836,2777,2802,2786,2870,2941,2827,3082,2889,2981
,男　Ｍ．,17063,1479,1336,1453,1380,1366,1372,1439,1404,1416,1540,1382,1496
,女　Ｆ．,17276,1431,1302,1383,1397,1436,1414,1431,1537,1411,1542,1507,1485
02105　　　直腸Ｓ状結腸移行部及び直腸の悪性新生物　　　　　　　　　　　　　　　,総数,15363,1328,1143,1280,1245,1249,1315,1319,1289,1275,1328,1266,1326
,男　Ｍ．,9756,872,699,784,827,778,836,843,821,823,830,796,847
,女　Ｆ．,5607,456,444,496,418,471,479,476,468,452,498,470,479
02106　　　肝及び肝内胆管の悪性新生物　　　　　　　　　　　　　　　　　　　　　,総数,28890,2599,2217,2471,2339,2406,2323,2460,2406,2346,2482,2369,2472
,男　Ｍ．,19008,1686,1478,1603,1557,1583,1521,1620,1600,1544,1639,1567,1610
,女　Ｆ．,9882,913,739,868,782,823,802,840,806,802,843,802,862
02107　　　胆のう及びその他の胆道の悪性新生物　　　　　　　　　　　　　　　　　,総数,18153,1576,1374,1534,1480,1535,1479,1525,1529,1512,1590,1441,1578
,男　Ｍ．,9067,816,664,777,742,763,717,777,755,735,821,709,791
,女　Ｆ．,9086,760,710,757,738,772,762,748,774,777,769,732,787
02108　　　膵の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,31868,2779,2495,2691,2653,2597,2503,2678,2653,2640,2722,2658,2799
,男　Ｍ．,16186,1453,1254,1340,1367,1322,1257,1300,1328,1413,1434,1314,1404
,女　Ｆ．,15682,1326,1241,1351,1286,1275,1246,1378,1325,1227,1288,1344,1395
02109　　　喉頭の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,971,103,85,75,79,80,71,99,70,77,85,60,87
,男　Ｍ．,899,94,80,70,74,74,70,86,65,72,81,58,75
,女　Ｆ．,72,9,5,5,5,6,1,13,5,5,4,2,12
02110　　　気管，気管支及び肺の悪性新生物　　　　　　　　　　　　　　　　　　　,総数,74382,6577,5558,6207,6118,6125,6022,6216,6274,6100,6426,6277,6482
,男　Ｍ．,53211,4691,3969,4452,4410,4455,4362,4383,4585,4331,4560,4424,4589
,女　Ｆ．,21171,1886,1589,1755,1708,1670,1660,1833,1689,1769,1866,1853,1893
02111　　　皮膚の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1505,133,140,129,112,123,121,127,158,98,125,114,125
,男　Ｍ．,745,67,67,62,52,54,56,79,83,47,68,50,60
,女　Ｆ．,760,66,73,67,60,69,65,48,75,51,57,64,65
02112　　　乳房の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,13706,1202,1087,1124,1112,1091,1074,1136,1138,1138,1168,1159,1277
,男　Ｍ．,121,6,8,14,7,8,7,14,12,11,12,8,14
,女　Ｆ．,13585,1196,1079,1110,1105,1083,1067,1122,1126,1127,1156,1151,1263
02113　　　子宮の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,6429,541,506,550,511,511,492,578,519,531,581,525,584
,男　Ｍ．,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. 
,女　Ｆ．,6429,541,506,550,511,511,492,578,519,531,581,525,584
02114　　　卵巣の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,4677,410,342,381,376,418,387,408,402,402,428,346,377
,男　Ｍ．,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. 
,女　Ｆ．,4677,410,342,381,376,418,387,408,402,402,428,346,377
02115　　　前立腺の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11326,1024,855,1003,900,878,903,928,968,894,980,988,1005
,男　Ｍ．,11326,1024,855,1003,900,878,903,928,968,894,980,988,1005
,女　Ｆ．,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. 
02116　　　膀胱の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,8130,723,628,697,655,698,633,665,649,712,700,622,748
,男　Ｍ．,5582,506,439,469,444,469,426,464,450,490,476,450,499
,女　Ｆ．,2548,217,189,228,211,229,207,201,199,222,224,172,249
02117　　　中枢神経系の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　,総数,2445,217,188,200,200,192,189,220,210,202,205,204,218
,男　Ｍ．,1406,122,112,116,109,118,118,122,113,128,103,120,125
,女　Ｆ．,1039,95,76,84,91,74,71,98,97,74,102,84,93
02118　　　悪性リンパ腫　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11829,965,894,997,948,1020,904,1007,1037,969,1066,1000,1022
,男　Ｍ．,6656,530,506,551,529,577,509,563,591,555,591,575,579
,女　Ｆ．,5173,435,388,446,419,443,395,444,446,414,475,425,443
02119　　　白血病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,8631,734,672,741,725,672,720,713,765,695,743,740,711
,男　Ｍ．,5104,431,398,424,424,391,434,401,447,405,453,451,445
,女　Ｆ．,3527,303,274,317,301,281,286,312,318,290,290,289,266
02120　　　その他のリンパ組織，造血組織及び関連組織の悪性新生物　　　　　　　　,総数,4174,395,322,353,342,361,314,337,350,359,359,320,362
,男　Ｍ．,2044,192,174,177,162,173,161,164,174,164,172,166,165
,女　Ｆ．,2130,203,148,176,180,188,153,173,176,195,187,154,197
02121　　　その他の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　,総数,27743,2445,2091,2290,2170,2259,2217,2323,2440,2263,2508,2324,2413
,男　Ｍ．,15498,1354,1192,1295,1165,1293,1198,1328,1353,1261,1387,1323,1349
,女　Ｆ．,12245,1091,899,995,1005,966,1019,995,1087,1002,1121,1001,1064
02200　　その他の新生物　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11319,1037,884,926,926,887,874,904,969,919,1028,965,1000
,男　Ｍ．,5946,556,473,505,474,455,436,479,496,472,553,520,527
,女　Ｆ．,5373,481,411,421,452,432,438,425,473,447,475,445,473
02201　　　中枢神経系のその他の新生物　　　　　　　　　　　　　　　　　　　　　,総数,2491,250,218,191,215,192,202,201,206,199,207,196,214
,男　Ｍ．,1200,126,103,106,99,85,85,91,92,92,115,104,102
,女　Ｆ．,1291,124,115,85,116,107,117,110,114,107,92,92,112
02202　　　中枢神経系を除くその他の新生物　　　　　　　　　　　　　　　　　　　,総数,8828,787,666,735,711,695,672,703,763,720,821,769,786
,男　Ｍ．,4746,430,370,399,375,370,351,388,404,380,438,416,425
,女　Ｆ．,4082,357,296,336,336,325,321,315,359,340,383,353,361
03000　血液及び造血器の疾患並びに免疫機構の障害　　　　　　　　　　　　　　　　,総数,4343,410,357,393,359,332,327,331,373,352,379,349,381
,男　Ｍ．,1924,170,155,186,156,130,145,164,170,140,180,156,172
,女　Ｆ．,2419,240,202,207,203,202,182,167,203,212,199,193,209
03100　　貧血　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1995,183,181,179,160,140,161,148,161,176,172,157,177
,男　Ｍ．,779,65,67,78,58,54,61,68,64,56,74,65,69
,女　Ｆ．,1216,118,114,101,102,86,100,80,97,120,98,92,108
